"Campaign";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum_ESM2";"SOC_stock_cum_ESM2";"Soil_mass_ESM2";"SOC_stock_ESM2";"SOC_g_kg_ESM2"
"FB";3;"FB_P7";2;-7.71059187824585;-22.1272113179774;77.1059187824585;221.272113179774;"FB_3_FB_P7";1803.6;31.85272875;1154.1;18.2560044883358;15.8183905106454
"FB";4;"FB_P2";1;0;-6.77643307384145;0;67.7643307384145;"FB_4_FB_P2";649.5;16.4026761151977;649.5;16.4026761151977;25.2543127254775
"FB";4;"FB_P2";2;-6.77643307384145;-19.8240134340427;67.7643307384145;198.240134340427;"FB_4_FB_P2";1803.6;38.2392370745453;1154.1;21.8365609593476;18.9208569095811
"FB";4;"FB_P8";1;0;-9.33279900645389;0;93.3279900645389;"FB_4_FB_P8";649.5;15.9963346348702;649.5;15.9963346348702;24.6286907388302
"FB";4;"FB_P8";2;-9.33279900645389;-23.1730524133912;93.3279900645389;231.730524133912;"FB_4_FB_P8";1803.6;36.9670212922784;1154.1;20.9706866574081;18.1705975716213
"HR";1;"HR_P4";1;0;-7.29247744790671;0;72.9247744790671;"HR_1_HR_P4";649.5;10.3707883471908;649.5;10.3707883471908;15.9673415661136
"HR";1;"HR_P4";2;-7.29247744790671;-18.7704714679138;72.9247744790671;187.704714679138;"HR_1_HR_P4";1803.6;26.7808695919683;1154.1;16.4100812447775;14.2189422448467
"HR";1;"HR_P5";1;0;-6.45937188116577;0;64.5937188116577;"HR_1_HR_P5";649.5;10.1657261255406;649.5;10.1657261255406;15.6516183611095
"HR";1;"HR_P5";2;-6.45937188116577;-16.9806487269171;64.5937188116577;169.806487269171;"HR_1_HR_P5";1803.6;25.4186287852488;1154.1;15.2529026597082;13.216274724641
"HR";2;"HR_P1";1;0;-10.7108406723932;0;107.108406723932;"HR_2_HR_P1";649.5;11.7011041705336;649.5;11.7011041705336;18.0155568445476
"HR";2;"HR_P1";2;-10.7108406723932;-25.1041748446186;107.108406723932;251.041748446186;"HR_2_HR_P1";1803.6;29.1604708900232;1154.1;17.4593667194896;15.1281229698376
"HR";2;"HR_P6";1;0;-7.68952024254775;0;76.8952024254774;"HR_2_HR_P6";649.5;11.2626055612887;649.5;11.2626055612887;17.3404242668032
"HR";2;"HR_P6";2;-7.68952024254775;-20.4859424986905;76.8952024254774;204.859424986905;"HR_2_HR_P6";1803.6;28.4169419232502;1154.1;17.1543363619615;14.8638214729759
"HR";3;"HR_P7";1;0;-7.42562595288479;0;74.2562595288479;"HR_3_HR_P7";649.5;9.54285671042631;649.5;9.54285671042631;14.6926200314493
"HR";3;"HR_P7";2;-7.42562595288479;-22.7413155053904;74.2562595288479;227.413155053904;"HR_3_HR_P7";1803.6;19.1668682292653;1154.1;9.62401151883899;8.33897540840394
"HR";3;"HR_P8";1;0;-6.89391524540675;0;68.9391524540675;"HR_3_HR_P8";649.5;7.99521803630327;649.5;7.99521803630327;12.3098045208672
"HR";3;"HR_P8";2;-6.89391524540675;-22.4485311225005;68.9391524540675;224.485311225005;"HR_3_HR_P8";1803.6;17.9270316737763;1154.1;9.93181363747306;8.60567856985795
"HR";4;"HR_P2";1;0;-7.43119701608187;0;74.3119701608187;"HR_4_HR_P2";649.5;6.87523681191939;649.5;6.87523681191939;10.5854300414463
"HR";4;"HR_P2";2;-7.43119701608187;-19.9359788160293;74.3119701608187;199.359788160293;"HR_4_HR_P2";1803.6;18.6099484640846;1154.1;11.7347116521652;10.1678465056453
"HR";4;"HR_P3";1;0;-10.1015853149553;0;101.015853149553;"HR_4_HR_P3";649.5;7.88814506901857;649.5;7.88814506901857;12.144950067773
"HR";4;"HR_P3";2;-10.1015853149553;-23.4855727767993;101.015853149553;234.855727767993;"HR_4_HR_P3";1803.6;21.0048220668645;1154.1;13.1166769978459;11.3652863684654
"PM";1;"PM_P4";1;0;-5.85666543104547;0;58.5666543104547;"PM_1_PM_P4";649.5;10.6648325451928;649.5;10.6648325451928;16.4200655045308
"PM";1;"PM_P4";2;-5.85666543104547;-15.4083989324387;58.5666543104547;154.083989324387;"PM_1_PM_P4";1803.6;27.4578210815543;1154.1;16.7929885363615;14.5507222392874
"PM";1;"PM_P6";1;0;-5.54492291300188;0;55.4492291300188;"PM_1_PM_P6";649.5;8.85068637668645;649.5;8.85068637668645;13.6269228278467
"PM";1;"PM_P6";2;-5.54492291300188;-15.3859922628515;55.4492291300188;153.859922628515;"PM_1_PM_P6";1803.6;25.217817425796;1154.1;16.3671310491096;14.1817269293038
"PM";2;"PM_P2";1;0;-6.48402451675666;0;64.8402451675666;"PM_2_PM_P2";649.5;9.78333645327629;649.5;9.78333645327629;15.0628736770998
"PM";2;"PM_P2";2;-6.48402451675666;-16.9020875130423;64.8402451675666;169.020875130423;"PM_2_PM_P2";1803.6;25.4308337116415;1154.1;15.6474972583652;13.5581814906553
"PM";2;"PM_P3";1;0;-7.81294642959016;0;78.1294642959016;"PM_2_PM_P3";649.5;12.0016360786984;649.5;12.0016360786984;18.4782695591969
"PM";2;"PM_P3";2;-7.81294642959016;-18.9187219481237;78.1294642959016;189.187219481237;"PM_2_PM_P3";1803.6;29.3791256682206;1154.1;17.3774895895223;15.0571783983383
"PM";3;"PM_P5";1;0;-6.84718145489673;0;68.4718145489673;"PM_3_PM_P5";649.5;9.37013356829936;649.5;9.37013356829936;14.4266875570429
"PM";3;"PM_P5";2;-6.84718145489673;-17.4384823666026;68.4718145489673;174.384823666026;"PM_3_PM_P5";1803.6;24.00850080916;1154.1;14.6383672408607;12.6837945072877
"PM";3;"PM_P8";1;0;-4.19408024040966;0;41.9408024040966;"PM_3_PM_P8";649.5;6.00786777228481;649.5;6.00786777228481;9.24998887187807
"PM";3;"PM_P8";2;-4.19408024040966;-11.8686958417124;41.9408024040966;118.686958417124;"PM_3_PM_P8";1803.6;17.4162381509129;1154.1;11.4083703786281;9.88507961062998
"PM";4;"PM_P1";1;0;-7.48524131331241;0;74.8524131331241;"PM_4_PM_P1";649.5;9.9913140316934;649.5;9.9913140316934;15.383085499143
"PM";4;"PM_P1";2;-7.48524131331241;-18.5712613342679;74.8524131331241;185.712613342679;"PM_4_PM_P1";1803.6;24.8616292590149;1154.1;14.8703152273215;12.8847718805316
"PM";4;"PM_P7";1;0;-5.96916778477856;0;59.6916778477856;"PM_4_PM_P7";649.5;10.7230322363046;649.5;10.7230322363046;16.5096724192527
"PM";4;"PM_P7";2;-5.96916778477856;-15.7312931559857;59.6916778477856;157.312931559857;"PM_4_PM_P7";1803.6;26.5190916759025;1154.1;15.7960594395979;13.6869070614313
